"Method","Uri","Action","Noun","OurCommand","Evidence"
"GET","/drives/{param}/items/{param}/workbook/tables/{param}/totalRowRange/visibleView","suppress",,"Get-MgDriveItemWorkbookTableTotalRowRangeVisibleView","no oracle row for GET /drives/{param}/items/{param}/workbook/tables/{param}/totalRowRange/visibleView and 'Get-MgDriveItemWorkbookTableTotalRowRangeVisibleView' unshipped"
"GET","/drives/{param}/items/{param}/workbook/tables/{param}/worksheet","suppress",,"Get-MgDriveItemWorkbookTableWorksheet","no oracle row for GET /drives/{param}/items/{param}/workbook/tables/{param}/worksheet and 'Get-MgDriveItemWorkbookTableWorksheet' unshipped"
"GET","/drives/{param}/items/{param}/workbook/tables/$count","suppress",,"Get-MgDriveItemWorkbookTableCount","no oracle row for GET /drives/{param}/items/{param}/workbook/tables/$count and 'Get-MgDriveItemWorkbookTableCount' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets","suppress",,"Get-MgDriveItemWorkbookWorksheet","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets and 'Get-MgDriveItemWorkbookWorksheet' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}","suppress",,"Get-MgDriveItemWorkbookWorksheet","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param} and 'Get-MgDriveItemWorkbookWorksheet' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts","suppress",,"Get-MgDriveItemWorkbookWorksheetChart","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts and 'Get-MgDriveItemWorkbookWorksheetChart' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}","suppress",,"Get-MgDriveItemWorkbookWorksheetChart","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param} and 'Get-MgDriveItemWorkbookWorksheetChart' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAx","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes and 'Get-MgDriveItemWorkbookWorksheetChartAx' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxis","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis and 'Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxis' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/format","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisFormat","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/format and 'Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisFormat' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/format/font","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisFormatFont","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/format/font and 'Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisFormatFont' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/format/line","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisFormatLine","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/format/line and 'Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisFormatLine' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/majorGridlines","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisMajorGridline","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/majorGridlines and 'Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisMajorGridline' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/majorGridlines/format","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisMajorGridlineFormat","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/majorGridlines/format and 'Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisMajorGridlineFormat' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/majorGridlines/format/line","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisMajorGridlineFormatLine","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/majorGridlines/format/line and 'Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisMajorGridlineFormatLine' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/minorGridlines","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisMinorGridline","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/minorGridlines and 'Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisMinorGridline' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/minorGridlines/format","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisMinorGridlineFormat","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/minorGridlines/format and 'Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisMinorGridlineFormat' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/minorGridlines/format/line","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisMinorGridlineFormatLine","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/minorGridlines/format/line and 'Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisMinorGridlineFormatLine' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/title","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisTitle","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/title and 'Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisTitle' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/title/format","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisTitleFormat","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/title/format and 'Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisTitleFormat' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/title/format/font","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisTitleFormatFont","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/categoryAxis/title/format/font and 'Get-MgDriveItemWorkbookWorksheetChartAxCategoryAxisTitleFormatFont' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxSeryAxis","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis and 'Get-MgDriveItemWorkbookWorksheetChartAxSeryAxis' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/format","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisFormat","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/format and 'Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisFormat' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/format/font","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisFormatFont","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/format/font and 'Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisFormatFont' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/format/line","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisFormatLine","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/format/line and 'Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisFormatLine' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/majorGridlines","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisMajorGridline","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/majorGridlines and 'Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisMajorGridline' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/majorGridlines/format","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisMajorGridlineFormat","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/majorGridlines/format and 'Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisMajorGridlineFormat' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/majorGridlines/format/line","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisMajorGridlineFormatLine","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/majorGridlines/format/line and 'Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisMajorGridlineFormatLine' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/minorGridlines","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisMinorGridline","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/minorGridlines and 'Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisMinorGridline' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/minorGridlines/format","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisMinorGridlineFormat","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/minorGridlines/format and 'Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisMinorGridlineFormat' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/minorGridlines/format/line","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisMinorGridlineFormatLine","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/minorGridlines/format/line and 'Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisMinorGridlineFormatLine' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/title","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisTitle","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/title and 'Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisTitle' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/title/format","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisTitleFormat","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/title/format and 'Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisTitleFormat' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/title/format/font","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisTitleFormatFont","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/seriesAxis/title/format/font and 'Get-MgDriveItemWorkbookWorksheetChartAxSeryAxisTitleFormatFont' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/valueAxis","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxValueAxis","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/valueAxis and 'Get-MgDriveItemWorkbookWorksheetChartAxValueAxis' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/valueAxis/format","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxValueAxisFormat","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/valueAxis/format and 'Get-MgDriveItemWorkbookWorksheetChartAxValueAxisFormat' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/valueAxis/format/font","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxValueAxisFormatFont","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/valueAxis/format/font and 'Get-MgDriveItemWorkbookWorksheetChartAxValueAxisFormatFont' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/valueAxis/format/line","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxValueAxisFormatLine","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/valueAxis/format/line and 'Get-MgDriveItemWorkbookWorksheetChartAxValueAxisFormatLine' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/valueAxis/majorGridlines","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxValueAxisMajorGridline","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/valueAxis/majorGridlines and 'Get-MgDriveItemWorkbookWorksheetChartAxValueAxisMajorGridline' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/valueAxis/majorGridlines/format","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxValueAxisMajorGridlineFormat","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/valueAxis/majorGridlines/format and 'Get-MgDriveItemWorkbookWorksheetChartAxValueAxisMajorGridlineFormat' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/valueAxis/majorGridlines/format/line","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxValueAxisMajorGridlineFormatLine","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/valueAxis/majorGridlines/format/line and 'Get-MgDriveItemWorkbookWorksheetChartAxValueAxisMajorGridlineFormatLine' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/valueAxis/minorGridlines","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxValueAxisMinorGridline","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/valueAxis/minorGridlines and 'Get-MgDriveItemWorkbookWorksheetChartAxValueAxisMinorGridline' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/valueAxis/minorGridlines/format","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxValueAxisMinorGridlineFormat","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/valueAxis/minorGridlines/format and 'Get-MgDriveItemWorkbookWorksheetChartAxValueAxisMinorGridlineFormat' unshipped"
"GET","/drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/valueAxis/minorGridlines/format/line","suppress",,"Get-MgDriveItemWorkbookWorksheetChartAxValueAxisMinorGridlineFormatLine","no oracle row for GET /drives/{param}/items/{param}/workbook/worksheets/{param}/charts/{param}/axes/valueAxis/minorGridlines/format/line and 'Get-MgDriveItemWorkbookWorksheetChartAxValueAxisMinorGridlineFormatLine' unshipped"
