"Method","Uri","Action","Noun","OurCommand","Evidence"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/runs/{param}/userProcessingResults/{param}/taskProcessingResults/{param}/subject/serviceProvisioningErrors","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowRunUserProcessingResultTaskProcessingResultSubjectServiceProvisioningError","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/runs/{param}/userProcessingResults/{param}/taskProcessingResults/{param}/subject/serviceProvisioningErrors and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowRunUserProcessingResultTaskProcessingResultSubjectServiceProvisioningError' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/runs/{param}/userProcessingResults/{param}/taskProcessingResults/{param}/subject/serviceProvisioningErrors/$count","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowRunUserProcessingResultTaskProcessingResultSubjectServiceProvisioningErrorCount","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/runs/{param}/userProcessingResults/{param}/taskProcessingResults/{param}/subject/serviceProvisioningErrors/$count and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowRunUserProcessingResultTaskProcessingResultSubjectServiceProvisioningErrorCount' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/runs/{param}/userProcessingResults/{param}/taskProcessingResults/{param}/task","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowRunUserProcessingResultTaskProcessingResultTask","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/runs/{param}/userProcessingResults/{param}/taskProcessingResults/{param}/task and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowRunUserProcessingResultTaskProcessingResultTask' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/runs/{param}/userProcessingResults/{param}/taskProcessingResults/$count","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowRunUserProcessingResultTaskProcessingResultCount","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/runs/{param}/userProcessingResults/{param}/taskProcessingResults/$count and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowRunUserProcessingResultTaskProcessingResultCount' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/runs/{param}/userProcessingResults/$count","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowRunUserProcessingResultCount","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/runs/{param}/userProcessingResults/$count and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowRunUserProcessingResultCount' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/runs/$count","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowRunCount","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/runs/$count and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowRunCount' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports","keep",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReport","Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReport"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/{param}","keep",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReport","Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReport"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/{param}/task","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportTask","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/{param}/task and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportTask' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/{param}/taskDefinition","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportTaskDefinition","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/{param}/taskDefinition and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportTaskDefinition' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/{param}/taskProcessingResults","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportTaskProcessingResult","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/{param}/taskProcessingResults and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportTaskProcessingResult' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/{param}/taskProcessingResults/{param}","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportTaskProcessingResult","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/{param}/taskProcessingResults/{param} and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportTaskProcessingResult' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/{param}/taskProcessingResults/{param}/subject","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportTaskProcessingResultSubject","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/{param}/taskProcessingResults/{param}/subject and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportTaskProcessingResultSubject' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/{param}/taskProcessingResults/{param}/subject/mailboxSettings","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportTaskProcessingResultSubjectMailboxSetting","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/{param}/taskProcessingResults/{param}/subject/mailboxSettings and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportTaskProcessingResultSubjectMailboxSetting' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/{param}/taskProcessingResults/{param}/subject/serviceProvisioningErrors","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportTaskProcessingResultSubjectServiceProvisioningError","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/{param}/taskProcessingResults/{param}/subject/serviceProvisioningErrors and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportTaskProcessingResultSubjectServiceProvisioningError' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/{param}/taskProcessingResults/{param}/subject/serviceProvisioningErrors/$count","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportTaskProcessingResultSubjectServiceProvisioningErrorCount","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/{param}/taskProcessingResults/{param}/subject/serviceProvisioningErrors/$count and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportTaskProcessingResultSubjectServiceProvisioningErrorCount' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/{param}/taskProcessingResults/{param}/task","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportTaskProcessingResultTask","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/{param}/taskProcessingResults/{param}/task and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportTaskProcessingResultTask' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/{param}/taskProcessingResults/$count","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportTaskProcessingResultCount","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/{param}/taskProcessingResults/$count and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportTaskProcessingResultCount' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/$count","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportCount","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/taskReports/$count and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskReportCount' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/tasks","keep",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTask","Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTask"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/tasks/{param}","keep",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTask","Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTask"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/tasks/{param}/taskProcessingResults","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskProcessingResult","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/tasks/{param}/taskProcessingResults and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskProcessingResult' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/tasks/{param}/taskProcessingResults/{param}","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskProcessingResult","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/tasks/{param}/taskProcessingResults/{param} and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskProcessingResult' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/tasks/{param}/taskProcessingResults/{param}/subject","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskProcessingResultSubject","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/tasks/{param}/taskProcessingResults/{param}/subject and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskProcessingResultSubject' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/tasks/{param}/taskProcessingResults/{param}/subject/mailboxSettings","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskProcessingResultSubjectMailboxSetting","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/tasks/{param}/taskProcessingResults/{param}/subject/mailboxSettings and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskProcessingResultSubjectMailboxSetting' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/tasks/{param}/taskProcessingResults/{param}/subject/serviceProvisioningErrors","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskProcessingResultSubjectServiceProvisioningError","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/tasks/{param}/taskProcessingResults/{param}/subject/serviceProvisioningErrors and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskProcessingResultSubjectServiceProvisioningError' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/tasks/{param}/taskProcessingResults/{param}/subject/serviceProvisioningErrors/$count","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskProcessingResultSubjectServiceProvisioningErrorCount","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/tasks/{param}/taskProcessingResults/{param}/subject/serviceProvisioningErrors/$count and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskProcessingResultSubjectServiceProvisioningErrorCount' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/tasks/{param}/taskProcessingResults/{param}/task","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskProcessingResultTask","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/tasks/{param}/taskProcessingResults/{param}/task and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskProcessingResultTask' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/tasks/{param}/taskProcessingResults/$count","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskProcessingResultCount","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/tasks/{param}/taskProcessingResults/$count and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskProcessingResultCount' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/tasks/$count","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskCount","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/tasks/$count and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowTaskCount' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults","keep",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResult","Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResult"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}","keep",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResult","Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResult"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/reprocessedRuns","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultReprocessedRun","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/reprocessedRuns and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultReprocessedRun' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/reprocessedRuns/{param}","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultReprocessedRun","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/reprocessedRuns/{param} and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultReprocessedRun' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/reprocessedRuns/$count","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultReprocessedRunCount","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/reprocessedRuns/$count and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultReprocessedRunCount' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/subject","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultSubject","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/subject and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultSubject' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/subject/mailboxSettings","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultSubjectMailboxSetting","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/subject/mailboxSettings and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultSubjectMailboxSetting' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/subject/serviceProvisioningErrors","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultSubjectServiceProvisioningError","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/subject/serviceProvisioningErrors and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultSubjectServiceProvisioningError' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/subject/serviceProvisioningErrors/$count","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultSubjectServiceProvisioningErrorCount","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/subject/serviceProvisioningErrors/$count and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultSubjectServiceProvisioningErrorCount' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/taskProcessingResults","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultTaskProcessingResult","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/taskProcessingResults and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultTaskProcessingResult' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/taskProcessingResults/{param}","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultTaskProcessingResult","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/taskProcessingResults/{param} and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultTaskProcessingResult' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/taskProcessingResults/{param}/subject","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultTaskProcessingResultSubject","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/taskProcessingResults/{param}/subject and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultTaskProcessingResultSubject' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/taskProcessingResults/{param}/subject/mailboxSettings","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultTaskProcessingResultSubjectMailboxSetting","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/taskProcessingResults/{param}/subject/mailboxSettings and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultTaskProcessingResultSubjectMailboxSetting' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/taskProcessingResults/{param}/subject/serviceProvisioningErrors","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultTaskProcessingResultSubjectServiceProvisioningError","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/taskProcessingResults/{param}/subject/serviceProvisioningErrors and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultTaskProcessingResultSubjectServiceProvisioningError' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/taskProcessingResults/{param}/subject/serviceProvisioningErrors/$count","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultTaskProcessingResultSubjectServiceProvisioningErrorCount","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/taskProcessingResults/{param}/subject/serviceProvisioningErrors/$count and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultTaskProcessingResultSubjectServiceProvisioningErrorCount' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/taskProcessingResults/{param}/task","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultTaskProcessingResultTask","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/taskProcessingResults/{param}/task and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultTaskProcessingResultTask' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/taskProcessingResults/$count","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultTaskProcessingResultCount","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/{param}/taskProcessingResults/$count and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultTaskProcessingResultCount' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/$count","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultCount","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/userProcessingResults/$count and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowUserProcessingResultCount' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions","keep",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersion","Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersion"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions/{param}","keep",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersion","Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersion"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions/{param}/administrationScopeTargets","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersionAdministrationScopeTarget","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions/{param}/administrationScopeTargets and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersionAdministrationScopeTarget' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions/{param}/administrationScopeTargets/{param}","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersionAdministrationScopeTarget","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions/{param}/administrationScopeTargets/{param} and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersionAdministrationScopeTarget' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions/{param}/administrationScopeTargets/$count","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersionAdministrationScopeTargetCount","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions/{param}/administrationScopeTargets/$count and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersionAdministrationScopeTargetCount' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions/{param}/createdBy","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersionCreatedBy","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions/{param}/createdBy and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersionCreatedBy' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions/{param}/createdBy/mailboxSettings","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersionCreatedByMailboxSetting","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions/{param}/createdBy/mailboxSettings and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersionCreatedByMailboxSetting' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions/{param}/createdBy/serviceProvisioningErrors","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersionCreatedByServiceProvisioningError","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions/{param}/createdBy/serviceProvisioningErrors and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersionCreatedByServiceProvisioningError' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions/{param}/createdBy/serviceProvisioningErrors/$count","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersionCreatedByServiceProvisioningErrorCount","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions/{param}/createdBy/serviceProvisioningErrors/$count and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersionCreatedByServiceProvisioningErrorCount' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions/{param}/lastModifiedBy","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersionLastModifiedBy","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions/{param}/lastModifiedBy and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersionLastModifiedBy' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions/{param}/lastModifiedBy/mailboxSettings","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersionLastModifiedByMailboxSetting","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions/{param}/lastModifiedBy/mailboxSettings and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersionLastModifiedByMailboxSetting' unshipped"
"GET","/identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions/{param}/lastModifiedBy/serviceProvisioningErrors","suppress",,"Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersionLastModifiedByServiceProvisioningError","no oracle row for GET /identityGovernance/lifecycleWorkflows/deletedItems/workflows/{param}/versions/{param}/lastModifiedBy/serviceProvisioningErrors and 'Get-MgIdentityGovernanceLifecycleWorkflowDeletedItemWorkflowVersionLastModifiedByServiceProvisioningError' unshipped"
