OperationId,FirstModule,FirstPath,FirstMethod,SecondModule,SecondPath,SecondMethod
user.calendar.event.instance_DeleteAttachment,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1}/attachments/{attachment-id},Delete,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1}/attachments/{attachment-id},Delete
user.calendar.event.instance.attachment_GetCount,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1}/attachments/$count,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1}/attachments/$count,Get
user.calendar.event.instance.attachment_createUploadSession,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1}/attachments/microsoft.graph.createUploadSession,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1}/attachments/microsoft.graph.createUploadSession,Post
user.calendar.event.instance_GetCalendar,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1}/calendar,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1}/calendar,Get
user.calendar.event.instance_ListExtension,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1}/extensions,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1}/extensions,Get
user.calendar.event.instance_CreateExtension,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1}/extensions,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1}/extensions,Post
user.calendar.event.instance_GetExtension,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1}/extensions/{extension-id},Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1}/extensions/{extension-id},Get
user.calendar.event.instance_UpdateExtension,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1}/extensions/{extension-id},Patch,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1}/extensions/{extension-id},Patch
user.calendar.event.instance_DeleteExtension,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1}/extensions/{extension-id},Delete,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1}/extensions/{extension-id},Delete
user.calendar.event.instance.extension_GetCount,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1}/extensions/$count,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1}/extensions/$count,Get
user.calendar.event.instance_accept,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1}/microsoft.graph.accept,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1}/microsoft.graph.accept,Post
user.calendar.event.instance_cancel,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1}/microsoft.graph.cancel,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1}/microsoft.graph.cancel,Post
user.calendar.event.instance_decline,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1}/microsoft.graph.decline,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1}/microsoft.graph.decline,Post
user.calendar.event.instance_dismissReminder,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1}/microsoft.graph.dismissReminder,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1}/microsoft.graph.dismissReminder,Post
user.calendar.event.instance_forward,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1}/microsoft.graph.forward,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1}/microsoft.graph.forward,Post
user.calendar.event.instance_snoozeReminder,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1}/microsoft.graph.snoozeReminder,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1}/microsoft.graph.snoozeReminder,Post
user.calendar.event.instance_tentativelyAccept,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1}/microsoft.graph.tentativelyAccept,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1}/microsoft.graph.tentativelyAccept,Post
