"Module","ApiVersion","Cmdlet","Verb","Noun","RequestPath","IsWorker","File"
"Applications","v1.0","Get-MgApplicationSynchronizationTemplate","Get","MgApplicationSynchronizationTemplate","(dispatcher)","False","GetMgApplicationSynchronizationTemplate.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronizationTemplate_Get","Get","MgApplicationSynchronizationTemplate_Get","Applications[ApplicationId].Synchronization.Templates[SynchronizationTemplateId]","True","GetMgApplicationSynchronizationTemplate_Get.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronizationTemplate_List","Get","MgApplicationSynchronizationTemplate_List","Applications[ApplicationId].Synchronization.Templates","True","GetMgApplicationSynchronizationTemplate_List.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronizationTemplateCount","Get","MgApplicationSynchronizationTemplateCount","Applications[ApplicationId].Synchronization.Templates.Count","False","GetMgApplicationSynchronizationTemplateCount.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronizationTemplateSchema","Get","MgApplicationSynchronizationTemplateSchema","Applications[ApplicationId].Synchronization.Templates[SynchronizationTemplateId].Schema","False","GetMgApplicationSynchronizationTemplateSchema.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronizationTemplateSchemaDirectory","Get","MgApplicationSynchronizationTemplateSchemaDirectory","(dispatcher)","False","GetMgApplicationSynchronizationTemplateSchemaDirectory.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronizationTemplateSchemaDirectory_Get","Get","MgApplicationSynchronizationTemplateSchemaDirectory_Get","Applications[ApplicationId].Synchronization.Templates[SynchronizationTemplateId].Schema.Directories[DirectoryDefinitionId]","True","GetMgApplicationSynchronizationTemplateSchemaDirectory_Get.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronizationTemplateSchemaDirectory_List","Get","MgApplicationSynchronizationTemplateSchemaDirectory_List","Applications[ApplicationId].Synchronization.Templates[SynchronizationTemplateId].Schema.Directories","True","GetMgApplicationSynchronizationTemplateSchemaDirectory_List.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronizationTemplateSchemaDirectoryCount","Get","MgApplicationSynchronizationTemplateSchemaDirectoryCount","Applications[ApplicationId].Synchronization.Templates[SynchronizationTemplateId].Schema.Directories.Count","False","GetMgApplicationSynchronizationTemplateSchemaDirectoryCount.g.cs"
"Applications","v1.0","Get-MgApplicationTemplate","Get","MgApplicationTemplate","(dispatcher)","False","GetMgApplicationTemplate.g.cs"
"Applications","v1.0","Get-MgApplicationTemplate_Get","Get","MgApplicationTemplate_Get","ApplicationTemplates[ApplicationTemplateId]","True","GetMgApplicationTemplate_Get.g.cs"
"Applications","v1.0","Get-MgApplicationTemplate_List","Get","MgApplicationTemplate_List","ApplicationTemplates","True","GetMgApplicationTemplate_List.g.cs"
"Applications","v1.0","Get-MgApplicationTemplateCount","Get","MgApplicationTemplateCount","ApplicationTemplates.Count","False","GetMgApplicationTemplateCount.g.cs"
"Applications","v1.0","Get-MgApplicationTokenIssuancePolicy","Get","MgApplicationTokenIssuancePolicy","Applications[ApplicationId].TokenIssuancePolicies","False","GetMgApplicationTokenIssuancePolicy.g.cs"
"Applications","v1.0","Get-MgApplicationTokenIssuancePolicyByRef","Get","MgApplicationTokenIssuancePolicyByRef","Applications[ApplicationId].TokenIssuancePolicies.Ref","False","GetMgApplicationTokenIssuancePolicyByRef.g.cs"
"Applications","v1.0","Get-MgApplicationTokenIssuancePolicyCount","Get","MgApplicationTokenIssuancePolicyCount","Applications[ApplicationId].TokenIssuancePolicies.Count","False","GetMgApplicationTokenIssuancePolicyCount.g.cs"
"Applications","v1.0","Get-MgApplicationTokenLifetimePolicy","Get","MgApplicationTokenLifetimePolicy","Applications[ApplicationId].TokenLifetimePolicies","False","GetMgApplicationTokenLifetimePolicy.g.cs"
"Applications","v1.0","Get-MgApplicationTokenLifetimePolicyByRef","Get","MgApplicationTokenLifetimePolicyByRef","Applications[ApplicationId].TokenLifetimePolicies.Ref","False","GetMgApplicationTokenLifetimePolicyByRef.g.cs"
"Applications","v1.0","Get-MgApplicationTokenLifetimePolicyCount","Get","MgApplicationTokenLifetimePolicyCount","Applications[ApplicationId].TokenLifetimePolicies.Count","False","GetMgApplicationTokenLifetimePolicyCount.g.cs"
"Applications","v1.0","Get-MgGroupAppRoleAssignment","Get","MgGroupAppRoleAssignment","(dispatcher)","False","GetMgGroupAppRoleAssignment.g.cs"
"Applications","v1.0","Get-MgGroupAppRoleAssignment_Get","Get","MgGroupAppRoleAssignment_Get","Groups[GroupId].AppRoleAssignments[AppRoleAssignmentId]","True","GetMgGroupAppRoleAssignment_Get.g.cs"
"Applications","v1.0","Get-MgGroupAppRoleAssignment_List","Get","MgGroupAppRoleAssignment_List","Groups[GroupId].AppRoleAssignments","True","GetMgGroupAppRoleAssignment_List.g.cs"
"Applications","v1.0","Get-MgGroupAppRoleAssignmentCount","Get","MgGroupAppRoleAssignmentCount","Groups[GroupId].AppRoleAssignments.Count","False","GetMgGroupAppRoleAssignmentCount.g.cs"
"Applications","v1.0","Get-MgServicePrincipal","Get","MgServicePrincipal","(dispatcher)","False","GetMgServicePrincipal.g.cs"
"Applications","v1.0","Get-MgServicePrincipal_Get","Get","MgServicePrincipal_Get","ServicePrincipals[ServicePrincipalId]","True","GetMgServicePrincipal_Get.g.cs"
"Applications","v1.0","Get-MgServicePrincipal_List","Get","MgServicePrincipal_List","ServicePrincipals","True","GetMgServicePrincipal_List.g.cs"
"Applications","v1.0","Get-MgServicePrincipalAppManagementPolicy","Get","MgServicePrincipalAppManagementPolicy","(dispatcher)","False","GetMgServicePrincipalAppManagementPolicy.g.cs"
"Applications","v1.0","Get-MgServicePrincipalAppManagementPolicy_Get","Get","MgServicePrincipalAppManagementPolicy_Get","ServicePrincipals[ServicePrincipalId].AppManagementPolicies[AppManagementPolicyId]","True","GetMgServicePrincipalAppManagementPolicy_Get.g.cs"
"Applications","v1.0","Get-MgServicePrincipalAppManagementPolicy_List","Get","MgServicePrincipalAppManagementPolicy_List","ServicePrincipals[ServicePrincipalId].AppManagementPolicies","True","GetMgServicePrincipalAppManagementPolicy_List.g.cs"
"Applications","v1.0","Get-MgServicePrincipalAppManagementPolicyCount","Get","MgServicePrincipalAppManagementPolicyCount","ServicePrincipals[ServicePrincipalId].AppManagementPolicies.Count","False","GetMgServicePrincipalAppManagementPolicyCount.g.cs"
"Applications","v1.0","Get-MgServicePrincipalAppRoleAssignedTo","Get","MgServicePrincipalAppRoleAssignedTo","(dispatcher)","False","GetMgServicePrincipalAppRoleAssignedTo.g.cs"
"Applications","v1.0","Get-MgServicePrincipalAppRoleAssignedTo_Get","Get","MgServicePrincipalAppRoleAssignedTo_Get","ServicePrincipals[ServicePrincipalId].AppRoleAssignedTo[AppRoleAssignmentId]","True","GetMgServicePrincipalAppRoleAssignedTo_Get.g.cs"
"Applications","v1.0","Get-MgServicePrincipalAppRoleAssignedTo_List","Get","MgServicePrincipalAppRoleAssignedTo_List","ServicePrincipals[ServicePrincipalId].AppRoleAssignedTo","True","GetMgServicePrincipalAppRoleAssignedTo_List.g.cs"
"Applications","v1.0","Get-MgServicePrincipalAppRoleAssignedToCount","Get","MgServicePrincipalAppRoleAssignedToCount","ServicePrincipals[ServicePrincipalId].AppRoleAssignedTo.Count","False","GetMgServicePrincipalAppRoleAssignedToCount.g.cs"
"Applications","v1.0","Get-MgServicePrincipalAppRoleAssignment","Get","MgServicePrincipalAppRoleAssignment","(dispatcher)","False","GetMgServicePrincipalAppRoleAssignment.g.cs"
"Applications","v1.0","Get-MgServicePrincipalAppRoleAssignment_Get","Get","MgServicePrincipalAppRoleAssignment_Get","ServicePrincipals[ServicePrincipalId].AppRoleAssignments[AppRoleAssignmentId]","True","GetMgServicePrincipalAppRoleAssignment_Get.g.cs"
"Applications","v1.0","Get-MgServicePrincipalAppRoleAssignment_List","Get","MgServicePrincipalAppRoleAssignment_List","ServicePrincipals[ServicePrincipalId].AppRoleAssignments","True","GetMgServicePrincipalAppRoleAssignment_List.g.cs"
"Applications","v1.0","Get-MgServicePrincipalAppRoleAssignmentCount","Get","MgServicePrincipalAppRoleAssignmentCount","ServicePrincipals[ServicePrincipalId].AppRoleAssignments.Count","False","GetMgServicePrincipalAppRoleAssignmentCount.g.cs"
"Applications","v1.0","Get-MgServicePrincipalById","Get","MgServicePrincipalById","(dispatcher)","False","GetMgServicePrincipalById.g.cs"
